User_Id,Location,Age
1,"Semarang, Jawa Tengah",20.0
2,"Bekasi, Jawa Barat",21.0
3,"Cirebon, Jawa Barat",23.0
4,"Bekasi, Jawa Barat",21.0
5,"Lampung, Sumatera Selatan",20.0
6,"Jakarta Utara, DKI Jakarta",18.0
7,"Jakarta Selatan, DKI Jakarta",39.0
8,"Bandung, Jawa Barat",40.0
9,"Surabaya, Jawa Timur",38.0
10,"Bekasi, Jawa Barat",39.0
11,"Yogyakarta, DIY",20.0
12,"Bogor, Jawa Barat",37.0
13,"Depok, Jawa Barat",18.0
14,"Jakarta Pusat, DKI Jakarta",26.0
15,"Jakarta Timur, DKI Jakarta",34.0
16,"Bekasi, Jawa Barat",40.0
17,"Semarang, Jawa Tengah",31.0
18,"Yogyakarta, DIY",39.0
19,"Cirebon, Jawa Barat",26.0
20,"Lampung, Sumatera Selatan",30.0
21,"Semarang, Jawa Tengah",30.0
22,"Subang, Jawa Barat",25.0
23,"Jakarta Barat, DKI Jakarta",37.0
24,"Bekasi, Jawa Barat",36.0
25,"Lampung, Sumatera Selatan",40.0
26,"Palembang, Sumatera Selatan",38.0
27,"Bogor, Jawa Barat",22.0
28,"Sragen, Jawa Tengah",38.0
29,"Ponorogo, Jawa Timur",34.0
30,"Depok, Jawa Barat",30.0
31,"Jakarta Selatan, DKI Jakarta",26.0
32,"Bekasi, Jawa Barat",34.0
33,"Ponorogo, Jawa Timur",24.0
34,"Sragen, Jawa Tengah",31.0
35,"Klaten, Jawa Tengah",24.0
36,"Solo, Jawa Tengah",20.0
37,"Tanggerang, Banten",21.0
38,"Serang, Banten",26.0
39,"Cilacap, Jawa Tengah",32.0
40,"Semarang, Jawa Tengah",27.0
41,"Yogyakarta, DIY",24.0
42,"Kota Gede, DIY",37.0
43,"Cirebon, Jawa Barat",33.0
44,"Subang, Jawa Barat",21.0
45,"Karawang, Jawa Barat",25.0
46,"Purwakarat, Jawa Barat",38.0
47,"Jakarta Utara, DKI Jakarta",31.0
48,"Jakarta Selatan, DKI Jakarta",35.0
49,"Jakarta Pusat, DKI Jakarta",24.0
50,"Bekasi, Jawa Barat",19.0
51,"Bogor, Jawa Barat",29.0
52,"Karawang, Jawa Barat",18.0
53,"Subang, Jawa Barat",28.0
54,"Serang, Banten",31.0
55,"Tanggerang, Banten",19.0
56,"Kota Gede, DIY",18.0
57,"Yogyakarta, DIY",21.0
58,"Lampung, Sumatera Selatan",21.0
59,"Ponorogo, Jawa Timur",26.0
60,"Surabaya, Jawa Timur",25.0
61,"Nganjuk, Jawa Timur",23.0
62,"Madura, Jawa Timur",36.0
63,"Semarang, Jawa Tengah",35.0
64,"Bandung, Jawa Barat",38.0
65,"Yogyakarta, DIY",22.0
66,"Bekasi, Jawa Barat",33.0
67,"Surabaya, Jawa Timur",25.0
68,"Kota Gede, DIY",37.0
69,"Bekasi, Jawa Barat",24.0
70,"Bogor, Jawa Barat",21.0
71,"Depok, Jawa Barat",39.0
72,"Tanggerang, Banten",19.0
73,"Serang, Banten",29.0
74,"Semarang, Jawa Tengah",30.0
75,"Bekasi, Jawa Barat",19.0
76,"Cirebon, Jawa Barat",19.0
77,"Bekasi, Jawa Barat",34.0
78,"Lampung, Sumatera Selatan",22.0
79,"Jakarta Utara, DKI Jakarta",31.0
80,"Jakarta Selatan, DKI Jakarta",32.0
81,"Bandung, Jawa Barat",29.0
82,"Surabaya, Jawa Timur",24.0
83,"Bekasi, Jawa Barat",32.0
84,"Yogyakarta, DIY",35.0
85,"Bogor, Jawa Barat",31.0
86,"Depok, Jawa Barat",32.0
87,"Jakarta Pusat, DKI Jakarta",30.0
88,"Jakarta Timur, DKI Jakarta",27.0
89,"Bekasi, Jawa Barat",35.0
90,"Semarang, Jawa Tengah",29.0
91,"Yogyakarta, DIY",32.0
92,"Cirebon, Jawa Barat",39.0
93,"Lampung, Sumatera Selatan",18.0
94,"Semarang, Jawa Tengah",34.0
95,"Subang, Jawa Barat",27.0
96,"Jakarta Barat, DKI Jakarta",19.0
97,"Bekasi, Jawa Barat",38.0
98,"Lampung, Sumatera Selatan",28.0
99,"Palembang, Sumatera Selatan",33.0
100,"Bogor, Jawa Barat",28.0
101,"Sragen, Jawa Tengah",39.0
102,"Ponorogo, Jawa Timur",21.0
103,"Depok, Jawa Barat",30.0
104,"Jakarta Selatan, DKI Jakarta",27.0
105,"Bekasi, Jawa Barat",37.0
106,"Ponorogo, Jawa Timur",32.0
107,"Sragen, Jawa Tengah",24.0
108,"Klaten, Jawa Tengah",33.0
109,"Solo, Jawa Tengah",18.0
110,"Tanggerang, Banten",39.0
111,"Serang, Banten",38.0
112,"Cilacap, Jawa Tengah",18.0
113,"Semarang, Jawa Tengah",38.0
114,"Yogyakarta, DIY",39.0
115,"Kota Gede, DIY",26.0
116,"Cirebon, Jawa Barat",23.0
117,"Subang, Jawa Barat",30.0
118,"Karawang, Jawa Barat",32.0
119,"Purwakarat, Jawa Barat",25.0
120,"Jakarta Utara, DKI Jakarta",32.0
121,"Jakarta Selatan, DKI Jakarta",35.0
122,"Jakarta Pusat, DKI Jakarta",24.0
123,"Bekasi, Jawa Barat",32.0
124,"Bogor, Jawa Barat",22.0
125,"Karawang, Jawa Barat",24.0
126,"Subang, Jawa Barat",32.0
127,"Serang, Banten",38.0
128,"Tanggerang, Banten",28.0
129,"Kota Gede, DIY",29.0
130,"Yogyakarta, DIY",27.0
131,"Lampung, Sumatera Selatan",21.0
132,"Ponorogo, Jawa Timur",31.0
133,"Surabaya, Jawa Timur",29.0
134,"Nganjuk, Jawa Timur",27.0
135,"Madura, Jawa Timur",22.0
136,"Semarang, Jawa Tengah",35.0
137,"Bandung, Jawa Barat",28.0
138,"Yogyakarta, DIY",25.0
139,"Bekasi, Jawa Barat",33.0
140,"Surabaya, Jawa Timur",25.0
141,"Kota Gede, DIY",34.0
142,"Bekasi, Jawa Barat",29.0
143,"Bogor, Jawa Barat",25.0
144,"Depok, Jawa Barat",18.0
145,"Tanggerang, Banten",37.0
146,"Serang, Banten",38.0
147,"Semarang, Jawa Tengah",18.0
148,"Bekasi, Jawa Barat",33.0
149,"Cirebon, Jawa Barat",30.0
150,"Bekasi, Jawa Barat",40.0
151,"Lampung, Sumatera Selatan",36.0
152,"Jakarta Utara, DKI Jakarta",25.0
153,"Jakarta Selatan, DKI Jakarta",39.0
154,"Bandung, Jawa Barat",31.0
155,"Surabaya, Jawa Timur",37.0
156,"Bekasi, Jawa Barat",31.0
157,"Yogyakarta, DIY",28.0
158,"Bogor, Jawa Barat",23.0
159,"Depok, Jawa Barat",20.0
160,"Jakarta Pusat, DKI Jakarta",36.0
161,"Jakarta Timur, DKI Jakarta",33.0
162,"Bekasi, Jawa Barat",25.0
